Name,City,Address,Category,Description,Latitude,Longitude
Manio,CARNAC,,Menhir,"Il s'agit d'une pierre dressée d'environ 6,5 m de haut.",47.6036,-3.05598
Pierres Droites,MONTENEUF,,Dolmen,Retrouvez prochainement les mégalithique de Monteneuf.,47.88221,-2.18440
